name,City,Country,Latitude,Longitude,awardYear,category,motivation,prizeAmount,birthYear,birthMonth,birthDay
A. Michael Spence,"Montclair, NJ",USA,40.82593,-74.20903,2001,Economic Sciences,for their analyses of markets with asymmetric information,10000000,1943,0,0
Aage Niels Bohr,Copenhagen,Denmark,55.678127,12.572532,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,1922,6,19
Aaron Ciechanover,Haifa,British Protectorate of Palestine,32.794421,34.99034,2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,10000000,1947,10,1
Aaron Klug,Zelvas,Lithuania,53.148256,24.816515,1982,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1150000,1926,8,11
Abdulrazak Gurnah,Zanzibar,Tanzania,-6.16394,39.19793,2021,Literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,10000000,1948,0,0
Abdus Salam,Jhang Maghiāna,India,31.268056,72.318056,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,1926,1,29
Abhijit Banerjee,Mumbai,India,19.075833,72.8775,2019,Economic Sciences,for their experimental approach to alleviating global poverty,9000000,1961,2,21
Abiy Ahmed Ali,Beshasha,Ethiopia,7.795864,36.477062,2019,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",9000000,1976,8,15
Ada E. Yonath,Jerusalem,British Mandate of Palestine,31.767983,35.213809,2009,Chemistry,for studies of the structure and function of the ribosome,10000000,1939,6,22
Adam G. Riess,"Washington, D.C.",USA,38.899065,-77.036523,2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,10000000,1969,12,16
Adolf Friedrich Johann Butenandt,Bremerhaven-Lehe,Germany,53.55,8.583333,1939,Chemistry,for his work on sex hormones,148822,1903,3,24
Johann Friedrich Wilhelm Adolf von Baeyer,Berlin,Prussia,52.522265,13.406852,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,1835,10,31
Adolf Otto Reinhold Windaus,Berlin,Germany,52.522265,13.406852,1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,156939,1876,12,25
Adolfo Pérez Esquivel,Buenos Aires,Argentina,-34.603443,-58.396729,1980,Peace,"for being a source of inspiration to repressed people, especially in Latin America",880000,1931,11,26
Ahmed H. Zewail,Damanhur,Egypt,31.05,30.466667,1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,7900000,1946,2,26
Akira Suzuki,Mukawa,Japan,42.57475,141.92675,2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,10000000,1930,9,12
Akira Yoshino,Suita,Japan,34.764885,135.517349,2019,Chemistry,for the development of lithium-ion batteries,9000000,1948,1,30
Albert Arnold (Al) Gore Jr.,"Washington, D.C.",USA,38.899065,-77.036523,2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",10000000,1948,3,31
Alain Aspect,Agen,France,44.203056,0.618611,2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,1947,6,15
Alan J. Heeger,"Sioux City, IA",USA,42.496681,-96.405876,2000,Chemistry,for the discovery and development of conductive polymers,9000000,1936,1,22
Alan Lloyd Hodgkin,Banbury,United Kingdom,52.061389,-1.339167,1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,1914,2,5
Alan G. MacDiarmid,Masterton,New Zealand,-40.966667,175.65,2000,Chemistry,for the discovery and development of conductive polymers,9000000,1927,4,14
Albert Abraham Michelson,Strelno,Prussia,52.629444,18.17,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,1852,12,19
